incident_id,source_text_path,output_json_path,provider,model,extracted,extracted_at,valid,validation_errors,error,raw_response_path
31-may-202420-20gc5220-mc20offshore20ev2010r,data/raw/bsee/text/31-may-202420-20gc5220-mc20offshore20ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/31-may-202420-20gc5220-mc20offshore20ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:41:49.063943+00:00,True,,,
31-may-ei-338arenacranesantitized,data/raw/bsee/text/31-may-ei-338arenacranesantitized.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/31-may-ei-338arenacranesantitized.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:42:14.654160+00:00,True,,,
ac-25a-exxon-22-feb-2014,data/raw/bsee/text/ac-25a-exxon-22-feb-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-25a-exxon-22-feb-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:20:51.175999+00:00,True,,,
ac-475-conoco-phillips-12-mar-2016,data/raw/bsee/text/ac-475-conoco-phillips-12-mar-2016.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-475-conoco-phillips-12-mar-2016.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:21:27.031838+00:00,True,,,
ac-475-conoco-phillips-13-dec-2015,data/raw/bsee/text/ac-475-conoco-phillips-13-dec-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-475-conoco-phillips-13-dec-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:21:50.879310+00:00,True,,,
ac-728-shell-16-mar-2018,data/raw/bsee/text/ac-728-shell-16-mar-2018.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-728-shell-16-mar-2018.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:22:09.281667+00:00,True,,,
ac-815-shell-01-apr-2022,data/raw/bsee/text/ac-815-shell-01-apr-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-815-shell-01-apr-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:22:31.054808+00:00,True,,,
ac-857-shell-13-jun-2014,data/raw/bsee/text/ac-857-shell-13-jun-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-857-shell-13-jun-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:22:46.532516+00:00,True,,,
ac-857-shell-offshore-05-may-2016_0,data/raw/bsee/text/ac-857-shell-offshore-05-may-2016_0.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-857-shell-offshore-05-may-2016_0.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:23:15.181248+00:00,True,,,
ac-857-shell-offshore-06-feb-2016,data/raw/bsee/text/ac-857-shell-offshore-06-feb-2016.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-857-shell-offshore-06-feb-2016.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:23:33.283023+00:00,True,,,
ac-857-shell-offshore-08-feb-2016,data/raw/bsee/text/ac-857-shell-offshore-08-feb-2016.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-857-shell-offshore-08-feb-2016.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:23:53.365264+00:00,True,,,
ac-857-shell-offshore-12-nov-2015,data/raw/bsee/text/ac-857-shell-offshore-12-nov-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-857-shell-offshore-12-nov-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:24:09.195248+00:00,True,,,
ac-857a-shell-offshore-11-feb-2014,data/raw/bsee/text/ac-857a-shell-offshore-11-feb-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac-857a-shell-offshore-11-feb-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:24:31.486265+00:00,True,,,
ac2033720llog2012-oct-2024,data/raw/bsee/text/ac2033720llog2012-oct-2024.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac2033720llog2012-oct-2024.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:25:07.154643+00:00,True,,,
ac2033720llog2027-sep-2024,data/raw/bsee/text/ac2033720llog2027-sep-2024.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac2033720llog2027-sep-2024.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:25:28.407735+00:00,True,,,
ac2073520shell2008-dec-2023,data/raw/bsee/text/ac2073520shell2008-dec-2023.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac2073520shell2008-dec-2023.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:25:57.640798+00:00,True,,,
ac2085720shell2003-oct-2024,data/raw/bsee/text/ac2085720shell2003-oct-2024.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac2085720shell2003-oct-2024.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:26:17.489454+00:00,True,,,
ac2085720shell2004-sep-202320,data/raw/bsee/text/ac2085720shell2004-sep-202320.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac2085720shell2004-sep-202320.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:26:49.275251+00:00,True,,,
